Date,ABB.ST,ASSA-B.ST,ATCO-A.ST,ERIC-B.ST,HEXA-B.ST,INVE-B.ST,SAND.ST,SEB-A.ST,SHB-A.ST,VOLV-B.ST
2020-01-02,215.16937255859375,200.10804748535156,86.85874938964844,68.12303161621094,76.44717407226562,116.7122802734375,155.12884521484375,61.18606948852539,57.312198638916016,105.02787017822266
2020-01-03,214.60386657714844,199.12010192871094,85.27330780029297,66.93898010253906,74.88529205322266,115.41796875,151.88226318359375,60.48509979248047,56.456790924072266,102.70844268798828
2020-01-07,216.67735290527344,199.03028869628906,85.88483428955078,67.73374938964844,75.36804962158203,115.59649658203125,153.5055694580078,60.9569091796875,56.76032638549805,103.5904769897461
2020-01-08,217.1485595703125,199.12010192871094,85.83953857421875,67.94459533691406,74.57291412353516,115.55186462402344,153.7552947998047,60.84906768798828,56.01529312133789,104.21117401123047
2020-01-09,216.67735290527344,199.2099151611328,86.38311004638672,68.15547180175781,75.22607421875,116.48915100097656,153.54718017578125,61.30738830566406,55.93251037597656,102.44709777832031
2020-01-10,215.4521026611328,199.2099151611328,85.88483428955078,66.63081359863281,75.28285217285156,116.04281616210938,152.3401336669922,60.41770553588867,55.40823745727539,101.95706939697266
2020-01-13,213.47286987304688,200.55712890625,86.79080200195312,67.76618194580078,76.07799530029297,116.17670440673828,151.9238739013672,60.404232025146484,54.315521240234375,101.79373931884766
2020-01-14,212.53041076660156,201.99417114257812,88.01382446289062,66.98764038085938,76.02120208740234,116.57841491699219,152.09039306640625,60.134620666503906,53.56496810913086,102.2510986328125
2020-01-15,213.00164794921875,205.94606018066406,88.19502258300781,67.50668334960938,75.65204620361328,116.7122802734375,151.46604919433594,59.52801513671875,51.997650146484375,101.85905456542969
2020-01-16,214.1326446533203,208.1016082763672,89.3727798461914,69.37195587158203,76.44717407226562,118.89926147460938,154.7958526611328,60.84906768798828,52.94686508178711,102.67577362060547
2020-01-17,214.50965881347656,210.2571563720703,88.9197998046875,69.29084777832031,77.78186798095703,120.10432434082031,156.4608154296875,62.008358001708984,53.090354919433594,104.17850494384766
2020-01-20,213.8498992919922,208.73028564453125,88.1270751953125,68.67449951171875,76.33358764648438,119.74725341796875,157.8759765625,61.994876861572266,52.97998046875,104.7991943359375
2020-01-21,213.8498992919922,209.5386505126953,88.94244384765625,68.41499328613281,77.04352569580078,119.8365249633789,159.20791625976562,62.15664291381836,52.72611618041992,105.4852294921875
2020-01-22,215.4521026611328,211.42478942871094,87.13053894042969,69.27462768554688,77.12872314453125,119.70263671875,155.5867156982422,62.0892333984375,52.62677764892578,103.29647064208984
2020-01-23,212.71888732910156,209.8979034423828,86.13396453857422,68.57717895507812,77.46949768066406,118.49757385253906,153.04769897460938,61.199554443359375,51.644447326660156,101.40171813964844
2020-01-24,217.24282836914062,215.7358856201172,87.53821563720703,64.63578796386719,79.5709457397461,120.41671752929688,156.16943359375,62.331878662109375,52.130096435546875,102.31642150878906
2020-01-27,211.49366760253906,209.71832275390625,85.54510498046875,64.14917755126953,77.6966781616211,117.56028747558594,151.38279724121094,61.18606948852539,51.03738021850586,97.93891143798828
2020-01-28,211.39942932128906,209.71832275390625,80.78882598876953,64.11675262451172,78.06586456298828,119.88114166259766,151.88226318359375,63.14067459106445,52.52744674682617,99.76830291748047
2020-01-29,214.22686767578125,210.9756622314453,79.72432708740234,63.338199615478516,77.49789428710938,120.23820495605469,155.0456085205078,64.36737060546875,52.339813232421875,99.96430969238281
2020-01-30,213.19012451171875,208.46087646484375,79.29399871826172,61.781097412109375,74.91368103027344,119.16703796386719,150.5087127685547,63.76076126098633,51.887271881103516,107.08595275878906
2020-01-31,211.8706512451172,205.94606018066406,77.45941925048828,61.44047927856445,74.57291412353516,117.87271881103516,146.6377716064453,64.1921157836914,52.25150680541992,108.00066375732422
2020-02-03,213.00164794921875,205.0478973388672,78.59187316894531,61.732425689697266,74.62970733642578,118.76535034179688,147.30374145507812,63.47768020629883,52.32876968383789,108.78471374511719
2020-02-04,217.3371124267578,206.0358428955078,81.53623962402344,63.338199615478516,77.5546875,122.1573715209961,151.9655303955078,64.75830078125,53.07931900024414,111.98617553710938
2020-02-05,226.0079345703125,210.61643981933594,82.2610092163086,63.19222640991211,81.41680908203125,123.98725891113281,155.96133422851562,65.01441192626953,56.31882858276367,112.86822509765625
2020-02-06,225.2539520263672,202.44325256347656,81.92127990722656,64.23027801513672,79.79812622070312,123.67485046386719,154.6710205078125,66.65898132324219,59.21615982055664,111.36548614501953
2020-02-07,221.95526123046875,206.75437927246094,81.64947509765625,67.87973022460938,78.74740600585938,123.49632263183594,151.54928588867188,66.7668228149414,60.51307678222656,111.36548614501953
2020-02-10,221.20126342773438,209.80810546875,82.41954803466797,67.31204223632812,78.83260345458984,123.98725891113281,151.6325225830078,66.94206237792969,61.202911376953125,112.9662094116211
2020-02-11,224.40570068359375,214.11923217773438,84.88826751708984,71.67516326904297,79.9117202758789,125.23696899414062,155.75318908691406,67.63628387451172,61.67201232910156,113.09688568115234
2020-02-12,224.12295532226562,212.68218994140625,85.72628784179688,71.67516326904297,80.53646850585938,124.74602508544922,158.0841064453125,67.1577377319336,61.42366409301758,113.19489288330078
2020-02-13,222.1437530517578,217.08309936523438,85.22801208496094,71.67516326904297,80.1104965209961,125.10306549072266,154.83750915527344,67.37342834472656,60.70623016357422,112.90088653564453
2020-02-14,221.4840087890625,216.54425048828125,85.25066375732422,71.5291748046875,80.30928802490234,125.68331909179688,153.5055694580078,67.60259246826172,60.457889556884766,113.2602310180664
2020-02-17,222.8977508544922,218.250732421875,84.6391372680664,71.46430206298828,81.04763793945312,125.9064712524414,153.17259216308594,68.31028747558594,60.37510681152344,113.29287719726562
2020-02-18,222.42649841308594,217.62200927734375,83.21226501464844,71.0425796508789,79.62774658203125,125.23696899414062,150.80006408691406,68.20919799804688,60.34751892089844,112.57421875
2020-02-19,225.4424591064453,219.777587890625,84.0955810546875,71.46430206298828,81.21802520751953,126.1296157836914,152.63148498535156,70.29861450195312,61.97554016113281,112.18218231201172
2020-02-20,224.78273010253906,221.39425659179688,83.39344787597656,70.96147918701172,81.38842010498047,125.77253723144531,152.50660705566406,70.13009643554688,61.23051452636719,113.3255615234375
2020-02-21,220.2587890625,220.76556396484375,81.24181365966797,70.34514617919922,80.62166595458984,124.79067993164062,149.01028442382812,68.91690063476562,60.51307678222656,111.52880859375
2020-02-24,210.17420959472656,210.8858642578125,77.14234924316406,67.76618194580078,77.3843002319336,118.45294189453125,139.520263671875,67.14425659179688,58.55391311645508,106.00791931152344
2020-02-25,207.62948608398438,205.76641845703125,76.44021606445312,66.69568634033203,77.52629089355469,115.5072250366211,137.3974609375,66.0254135131836,57.14664077758789,103.72114562988281
2020-02-26,209.5144500732422,206.48492431640625,79.15808868408203,66.72811889648438,77.9522705078125,115.23944854736328,141.26841735839844,66.07933807373047,57.588134765625,104.66853332519531
2020-02-27,202.54006958007812,197.95248413085938,77.3008804321289,64.87908172607422,74.26053619384766,110.41920471191406,135.2330780029297,63.69336700439453,55.270267486572266,99.80097961425781
2020-02-28,196.2254180908203,193.01266479492188,76.8026123046875,62.18660354614258,72.78385162353516,106.513916015625,131.86163330078125,61.630916595458984,53.24488067626953,97.22019958496094
2020-03-02,194.7174530029297,195.4376678466797,76.14578247070312,62.02439498901367,73.06781768798828,108.3215103149414,130.7794189453125,62.318397521972656,53.75260925292969,97.4488754272461
2020-03-03,194.62318420410156,195.70712280273438,77.18763732910156,61.6351203918457,73.23821258544922,110.28529357910156,133.11033630371094,62.26447677612305,53.708457946777344,99.14762878417969
2020-03-04,195.2829132080078,194.44970703125,77.57266998291016,61.716209411621094,71.90351867675781,111.9813232421875,133.5265350341797,62.30491638183594,54.29344177246094,97.4815444946289
2020-03-05,192.36122131347656,187.80340576171875,75.94194030761719,60.759254455566406,71.4775390625,111.40110778808594,130.19668579101562,61.576995849609375,54.205142974853516,94.93343353271484
2020-03-06,184.39723205566406,186.18670654296875,73.06553649902344,57.85590744018555,68.6519546508789,107.76360321044922,125.99278259277344,59.7032585144043,52.91375732421875,91.20927429199219
2020-03-09,172.61614990234375,174.60057067871094,69.82672882080078,56.1690559387207,63.171146392822266,102.16230010986328,117.83467102050781,54.621273040771484,50.88285827636719,85.49236297607422
2020-03-10,172.99317932128906,174.73532104492188,71.38949584960938,56.477230072021484,62.81618118286133,101.93915557861328,116.54435729980469,53.77202606201172,49.94467544555664,85.32903289794922
2020-03-11,170.4955596923828,174.15150451660156,69.44170379638672,55.81222152709961,63.01496887207031,101.0241928100586,115.79512786865234,53.27326583862305,49.22723388671875,84.6103286743164
